Brand,w/c.,value,Volume,Distribution
AMSTEL 250/300/330 can 6 pk,19/08/2018,193941,127811,99
AMSTEL 250/300/330 can 6 pk,26/08/2018,187827,117319,99
AMSTEL 250/300/330 can 6 pk,02/09/2018,64198,28621,96
AMSTEL 250/300/330 can 6 pk,09/09/2018,173399,101331,98
AMSTEL 250/300/330 can 6 pk,16/09/2018,163798,90542,98
AMSTEL 250/300/330 can 6 pk,23/09/2018,167626,92140,99
AMSTEL 250/300/330 can 6 pk,30/09/2018,195693,142299,99
AMSTEL 250/300/330 can 6 pk,07/10/2018,178249,104162,98
AMSTEL 250/300/330 can 6 pk,14/10/2018,70712,31508,96
AMSTEL 250/300/330 can 6 pk,21/10/2018,205311,149443,98
AMSTEL 250/300/330 can 6 pk,28/10/2018,68789,30938,95
AMSTEL 250/300/330 can 6 pk,04/11/2018,162364,94868,98
AMSTEL 250/300/330 can 6 pk,11/11/2018,62558,28892,95
AMSTEL 250/300/330 can 6 pk,18/11/2018,153607,93223,99
AMSTEL 250/300/330 can 6 pk,25/11/2018,75867,35005,95
AMSTEL 250/300/330 can 6 pk,02/12/2018,196301,119355,98
AMSTEL 250/300/330 can 6 pk,09/12/2018,67563,31225,96
AMSTEL 250/300/330 can 6 pk,16/12/2018,171876,104443,98
AMSTEL 250/300/330 can 6 pk,23/12/2018,90817,42152,97
AMSTEL 250/300/330 can 6 pk,30/12/2018,73628,33961,95
AMSTEL 250/300/330 can 6 pk,06/01/2019,72797,33553,96
AMSTEL 250/300/330 can 6 pk,13/01/2019,180384,126182,98
AMSTEL 250/300/330 can 6 pk,20/01/2019,64932,28722,93
AMSTEL 250/300/330 can 6 pk,27/01/2019,56317,24825,93
AMSTEL 250/300/330 can 6 pk,03/02/2019,69579,30643,96
AMSTEL 250/300/330 can 6 pk,10/02/2019,187984,116596,98
AMSTEL 250/300/330 can 6 pk,17/02/2019,66905,28896,95
AMSTEL 250/300/330 can 6 pk,24/02/2019,201100,122069,98
AMSTEL 250/300/330 can 6 pk,03/03/2019,71050,29944,94
AMSTEL 250/300/330 can 6 pk,10/03/2019,68186,28742,94
AMSTEL 250/300/330 can 6 pk,17/03/2019,77153,33636,96
AMSTEL 250/300/330 can 6 pk,24/03/2019,75833,32724,94
AMSTEL 250/300/330 can 6 pk,31/03/2019,67347,29225,96
AMSTEL 250/300/330 can 6 pk,07/04/2019,94253,40612,96
AMSTEL 250/300/330 can 6 pk,14/04/2019,200609,120986,98
AMSTEL 250/300/330 can 6 pk,21/04/2019,93775,40525,97
AMSTEL 250/300/330 can 6 pk,28/04/2019,85573,36860,97
AMSTEL 250/300/330 can 6 pk,05/05/2019,201262,121913,98
AMSTEL 250/300/330 can 6 pk,12/05/2019,86417,38576,97
AMSTEL 250/300/330 can 6 pk,19/05/2019,75390,33882,96
AMSTEL 250/300/330 can 6 pk,26/05/2019,102525,45938,96
AMSTEL 250/300/330 can 6 pk,02/06/2019,97336,41024,97
AMSTEL 250/300/330 can 6 pk,09/06/2019,75728,31896,96
AMSTEL 250/300/330 can 6 pk,16/06/2019,176925,107807,99
AMSTEL 250/300/330 can 6 pk,23/06/2019,102001,45346,98
AMSTEL 250/300/330 can 6 pk,30/06/2019,99936,44586,98
AMSTEL 250/300/330 can 6 pk,07/07/2019,104695,46756,96
AMSTEL 250/300/330 can 6 pk,14/07/2019,206845,137644,99
AMSTEL 250/300/330 can 6 pk,21/07/2019,87126,38081,97
AMSTEL 250/300/330 can 6 pk,28/07/2019,117740,51328,98
AMSTEL 250/300/330 can 6 pk,04/08/2019,105389,45606,98
AMSTEL 250/300/330 can 6 pk,11/08/2019,247330,141531,98
AMSTEL 250/300/330 can 6 pk,18/08/2019,71640,31151,97
AMSTEL 250/300/330 can 6 pk,25/08/2019,218551,143237,99
AMSTEL 250/300/330 can 6 pk,01/09/2019,85737,37301,97
AMSTEL 250/300/330 can 6 pk,08/09/2019,244076,162589,98
AMSTEL 250/300/330 can 6 pk,15/09/2019,60505,26463,95
AMSTEL 250/300/330 can 6 pk,22/09/2019,188813,120814,98
AMSTEL 250/300/330 can 6 pk,29/09/2019,81899,35620,95
AMSTEL 250/300/330 can 6 pk,06/10/2019,158929,90742,98
AMSTEL 250/300/330 can 6 pk,13/10/2019,71382,31039,97
AMSTEL 250/300/330 can 6 pk,20/10/2019,189727,124406,97
AMSTEL 250/300/330 can 6 pk,27/10/2019,63535,27764,96
AMSTEL 250/300/330 can 6 pk,03/11/2019,161309,92075,98
AMSTEL 250/300/330 can 6 pk,10/11/2019,153385,87651,98
AMSTEL 250/300/330 can 6 pk,17/11/2019,59990,26146,94
AMSTEL 250/300/330 can 6 pk,24/11/2019,132285,75519,97
AMSTEL 250/300/330 can 6 pk,01/12/2019,61851,26964,96
AMSTEL 250/300/330 can 6 pk,08/12/2019,151512,86813,99
AMSTEL 250/300/330 can 6 pk,15/12/2019,72280,31431,94
AMSTEL 250/300/330 can 6 pk,22/12/2019,141668,81156,98
AMSTEL 250/300/330 can 6 pk,29/12/2019,98387,52391,98
AMSTEL 250/300/330 can 6 pk,05/01/2020,63444,27589,96
AMSTEL 250/300/330 can 6 pk,12/01/2020,121531,69619,98
AMSTEL 250/300/330 can 6 pk,19/01/2020,65172,27540,96
AMSTEL 250/300/330 can 6 pk,26/01/2020,169816,94341,98
AMSTEL 250/300/330 can 6 pk,02/02/2020,59682,26233,96
AMSTEL 250/300/330 can 6 pk,09/02/2020,59422,25057,93
AMSTEL 250/300/330 can 6 pk,16/02/2020,132605,77535,98
AMSTEL 250/300/330 can 6 pk,23/02/2020,60358,25465,94
BAVARIA 250/300/330 can 6 pk,05/03/2017,47477,27482,93
BAVARIA 250/300/330 can 6 pk,12/03/2017,41409,21948,89
BAVARIA 250/300/330 can 6 pk,19/03/2017,44655,23655,90
BAVARIA 250/300/330 can 6 pk,26/03/2017,44434,23716,89
BAVARIA 250/300/330 can 6 pk,02/04/2017,48029,25243,90
BAVARIA 250/300/330 can 6 pk,09/04/2017,85951,56672,93
BAVARIA 250/300/330 can 6 pk,16/04/2017,46421,24544,91
BAVARIA 250/300/330 can 6 pk,23/04/2017,36731,19418,86
BAVARIA 250/300/330 can 6 pk,30/04/2017,45938,24293,88
